Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.09335202,0.01343684,-0.11600987,0,0,0,31.746449,0.91586,0.055139,0.29362,1.7269,-0.039149,1.7977,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/base_link.STL,,FR3400L外发三维+套筒-1;T170C-BZ-底盘外壳1-1;RR25007A1050014A0-1;CRA-RI110-145-PRO-2-xxx-B-EC-A1.step-1;T170C-BZ-底盘外壳2-1,ZJZ1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Fold_R_S,0.1787242,0.00592535,-0.00044741,0,0,0,7.0446045,0.018862,-0.0012779,0.00015359,0.031009,-0.00016515,0.032075,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/Fold_R_S.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/Fold_R_S.STL,,RR25007A1050015A1-1;CRA-RI100-120-PRO-2-xxx-B-2E-EC-1;GB╱T 276-2013[两面带防尘盖的深沟球轴承[60000-2Z]61911-2Z]-1;RS25021A1050008A2-1;RS25021A1050007A2-1,ZZD1,ZD1,Fold_R,revolute,0,0,0,0,0,0,base_link,1,0,0,497,2.3038,-0.17444,0.17444,,,,,,,,
Fold_P1_S,0.00299867,0.00785519,0.2153831,0,0,0,8.102632,0.13682,0.00020671,0.00016408,0.12431,-0.0030544,0.036635,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/Fold_P1_S.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/Fold_P1_S.STL,,CRA-RI100-120-PRO-2-xxx-B-2E-EC-2;GB╱T 276-2013[两面带防尘盖的深沟球轴承[60000-2Z]61911-2Z]-2;RS25021A1050013A1-1;RS25021A1050012A2-1;T170C-BZ-第二臂左侧壳-1;T170C-BZ-第二臂右侧壳-1,ZZD2,ZD2,Fold_P1,revolute,0.205800362959768,0,0,0,0,0,Fold_R_S,0,1,0,267,4.6077,0,1.57,,,,,,,,
Fold_P2_S,0.00606656,0.00079569,0.24327766,0,0,0,9.519605,0.2668,0.00011325,0.0090022,0.2228,0.0070974,0.078112,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/Fold_P2_S.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/Fold_P2_S.STL,,RS25021A1050006A1-1;RS25021A1050005A2-1;RS25021A1050011A2-1;T170C-BZ-第一臂右侧壳-1;T170C-BZ-第一臂左侧壳-1,ZZD3,ZD3,Fold_P2,revolute,0,0,0.3,0,0,0,Fold_P1_S,0,1,0,267,4.6077,-2.57,0,,,,,,,,
Fold_P3_S,0,0.00623616,0.00912471,0,0,0,2.2654317,0.0044512,0,-3E-08,0.0040961,0.00013219,0.0031422,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/Fold_P3_S.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/Fold_P3_S.STL,,CRA-RI70-80-PRO-2-xxx-B-2E-EC-1;RS25021A1050004A2-1;RS25021A1050003A1-1;RS25021A1050002A0-1,ZYB1,YB1,Fold_P3,revolute,0,0,0.422520825602014,0,0,0,Fold_P2_S,0,-1,0,69,6.3879,-1.57,0.56,,,,,,,,
WAIST_Y_S,-0.02500623,0.00158718,0.13835025,0,0,0,12.298255,0.17704,0.0016441,-0.0072848,0.17508,0.00057346,0.10694,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/WAIST_Y_S.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/WAIST_Y_S.STL,,RS25021A1010009A0-2;RS25021A10100010A0-2;RS25021A10100010A0-1;RS25021A1010009A0-1;RS25021A10100011A0-1;83000002-D435i深度相机-1;RS25021A101023A0-1;RS25021A101022A0-1;83000013-胸前喇叭-1;83000013-胸前喇叭-2;C LRSU9A11-4A(3U)-V1_1扩展卡不带侧板-1;RS25021A101026A0-1;铜螺柱M2.5x20+4-2;铜螺柱M2.5x20+4-1;铜螺柱M2.5x20+4-3;RS25021A10100017A0-1;hexagon socket head cap screws gb-31;hexagon socket head cap screws gb-32;hexagon socket head cap screws gb-33;83000009-手部六维力组件-1;六角铜螺柱 M2×3+4-2;六角铜螺柱 M2×3+4-6;六角铜螺柱 M2×3+4-7;83000009-手部六维力组件-2;六角铜螺柱 M2×3+4-5;六角铜螺柱 M2×3+4-1;六角铜螺柱 M2×3+4-4;铜螺柱M2.5x10+4-3;电源转换集成板Ti5 PW-DC482412xx01-1;铜螺柱M2.5x10+4-1;铜螺柱M2.5x10+4-2;铜螺柱M2.5x10+4-4;RS25021A1010003A0-1;RS25021A101024A0-1;UCANFDX6_MINI_SH1.0_V1.0.0.step-1;81930404-内六角铜螺柱M3X40+4-1;81930404-内六角铜螺柱M3X40+4-2;83000010-稳压板-1;83000008-电容-1;81930404-内六角铜螺柱M3X40+4-4;RS25021A1010008A0-1;83000015-24V及以下跳线板-2;83000015-24V及以下跳线板-1;83000015-24V及以下跳线板-3;83000016-绿联拓展坞（长）-1;RS25021A101025A0-2;RS25021A101025A0-1;83000007-英伟达AGX主控-1;RS25021A10100015A0-2;出线板（虚拟）-1;RS25021A10100015A0-1;T170A-BZ-躯干后壳盖板-A1-1;RS25021A1010007A0-1;83000017-LB22SA1X1-X20无灯-1;83000019-施耐德急停开关-1;83000018-短路电流保护开关-1;RS25021A101021A0-1;RS25021A1020011A0-1;CRA-RI40-52-PRO-2-xxx-2E-EC-1;CRA-RI70-80-PRO-2-xxx-2E-EC-1;RS25021A105021A0-1;T170A-BZ-躯干后壳-A1-1;RS25021A101020A0-2;RS25021A101020A0-1;CRA-RI60-70-PRO-2-xxx-2E-EC-3;CRA-RI60-70-PRO-2-xxx-2E-EC-1;T170A-BZ-躯干前壳（旗舰款）-A1-1,ZYB2,YB2,WAIST_Y,revolute,0,0,0.129499999999999,0,0,0,Fold_P3_S,0,0,1,69,6.3879,-1.57,1.57,,,,,,,,
L_SHOULDER_P_S,-0.00459107,0.09320427,2.25E-06,0,0,0,0.96131632,0.00090212,2.958E-05,0,0.00072135,-3E-08,0.0009211,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/L_SHOULDER_P_S.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/L_SHOULDER_P_S.STL,,CRA-RI60-70-PRO-2-xxx-2E-EC-4;RS25021A1030002A0-1;RS25021A1030001A0-1;T170A-BZ-左肩上壳-1;T170A-BZ-左肩下壳-1,ZZS1,ZS1,L_SHOULDER_P,revolute,0,0.0921750000000002,0.246999999999999,0,0,0,WAIST_Y_S,0,-1,0,42,7.12,-3.14,3.14,,,,,,,,
L_SHOULDER_R_S,0.00093615,0.08890963,-1.455E-05,0,0,0,0.86209493,0.0021144,9.163E-05,-4.5E-07,0.00089431,-3.9E-07,0.0023649,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/L_SHOULDER_R_S.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/L_SHOULDER_R_S.STL,,CRA-RI50-60-PRO-2-xxx-2E-EC-3;RS25021A1030004A0-1;RS25021A1030006A1-1;RS25021A1030005A1-1;T170A-BZ-左大臂上后壳-1;T170A-BZ-左大臂上前壳-1,ZZS2,ZS2,L_SHOULDER_R,revolute,0,0.0988250000000059,0,0,0,0,L_SHOULDER_P_S,-1,0,0,42,7.12,-1.4828,1.4828,,,,,,,,
L_SHOULDER_Y_S,-0.00171186,0.12462239,-0.00223631,0,0,0,0.92681372,0.002623,-5.734E-05,2.65E-06,0.00069386,5.067E-05,0.0026017,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/L_SHOULDER_Y_S.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/L_SHOULDER_Y_S.STL,,CRA-RI50-60-PRO-2-xxx-2E-EC-4;RS25021A1030008A1-1;RS25021A1030007A1-1;T170A-BZ-左大臂下前壳-A2-1;T170A-BZ-左大臂下后壳-A2-1,ZZS3,ZS3,L_SHOULDER_Y,revolute,0,0.114049999999992,0,0,0,0,L_SHOULDER_R_S,0,-1,0,23,10.16,-3.14,3.14,,,,,,,,
L_ELBOW_Y_S,0.00192016,0.05898775,0.00115056,0,0,0,0.65776738,0.00098477,8.18E-06,-1.41E-06,0.00060038,3.54E-05,0.00076337,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/L_ELBOW_Y_S.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://T170C-V1.1-URDF-1.0/meshes/L_ELBOW_Y_S.STL,,CRA-RI40-52-PRO-2-xxx-2E-EC-3;RS25021A1030011A0-1;RS25021A1030009A0-1;RS25021A1030012A1-1;T170A-BZ-左肘部前壳-A2-1;T170A-BZ-左肘部后壳-1,ZZS4,ZS4,L_ELBOW_Y,revolute,0,0.155950000000004,0,0,0,0,L_SHOULDER_Y_S,0,0,-1,23,10.16,0,2.45,,,,,,,,
